Title_Type,Total_Rows,Percentage,Year
Subtitle,20,0.04643280013001184,2017
Chapter,69,0.16019316044854084,2017
Subchapter,164,0.38074896106609707,2017
Part,191,0.4434332412416131,2017
Subpart,103,0.23912892066956098,2017
Section,672,1.5601420843683977,2017
Paragraph,41854,97.16992083207577,2017
