Title_Type,Total_Rows,Percentage,Year
Subtitle,46,0.15577378936674569,2018
Chapter,69,0.23366068405011853,2018
Subchapter,165,0.558753809685066,2018
Part,172,0.5824585167626143,2018
Section,668,2.2621063325431767,2018
Paragraph,28410,96.20724686759227,2018
